model,gene,variable,estimate,pval,sigma,contrast,FDR,label
lmekin.contrast,DDX55,contrast,-0.0025989501197315216,0.9633379992395649,NA,MEDIA_RSTR - MEDIA_LTBI,0.9775047345224996,RSTR - LTBI in media
lmekin.contrast,DISC1,contrast,0.31406421052791683,0.02327192931004568,NA,TB_RSTR - TB_LTBI,0.03920365873978517,RSTR - LTBI in Mtb
lmekin.contrast,DISC1,contrast,0.1814400200140182,0.05562815431192632,NA,MEDIA_RSTR - MEDIA_LTBI,0.23941208268786035,RSTR - LTBI in media
lmekin.contrast,ECHDC2,contrast,-0.4183937429350691,0.06918754242134613,NA,TB_RSTR - TB_LTBI,0.09007434768062043,RSTR - LTBI in Mtb
lmekin.contrast,ECHDC2,contrast,-0.25464022009833337,0.11956138940555101,NA,MEDIA_RSTR - MEDIA_LTBI,0.3299894347593208,RSTR - LTBI in media
lmekin.contrast,ELMSAN1,contrast,-0.27297914925222183,0.0016307610934104542,NA,TB_RSTR - TB_LTBI,0.007501501029688089,RSTR - LTBI in Mtb
lmekin.contrast,ELMSAN1,contrast,0.001348069836172728,0.978966974562781,NA,MEDIA_RSTR - MEDIA_LTBI,0.978966974562781,RSTR - LTBI in media
lmekin.contrast,EPB41,contrast,-0.40243638818488786,0.00834355922700876,NA,TB_RSTR - TB_LTBI,0.020560913809414445,RSTR - LTBI in Mtb
lmekin.contrast,EPB41,contrast,-0.22697834291351135,0.036882360195287484,NA,MEDIA_RSTR - MEDIA_LTBI,0.21207357112290304,RSTR - LTBI in media
lmekin.contrast,ESYT1,contrast,0.03208901775448043,0.6521258022570567,NA,TB_RSTR - TB_LTBI,0.7205122883291225,RSTR - LTBI in Mtb
lmekin.contrast,ESYT1,contrast,0.07685410798818335,0.2031416904485631,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,FCMR,contrast,-0.47543308710664794,0.024021677332543342,NA,TB_RSTR - TB_LTBI,0.039464184189178346,RSTR - LTBI in Mtb
lmekin.contrast,FCMR,contrast,-0.7235122160031089,0.0034370004328724514,NA,MEDIA_RSTR - MEDIA_LTBI,0.04743060597363983,RSTR - LTBI in media
lmekin.contrast,FLYWCH1,contrast,-0.21865582131097444,0.09413009521227873,NA,TB_RSTR - TB_LTBI,0.12027734388235616,RSTR - LTBI in Mtb
lmekin.contrast,FLYWCH1,contrast,-0.07281377871233327,0.19765897854191594,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,FZD3,contrast,-0.1290904382941667,0.6578590458657205,NA,TB_RSTR - TB_LTBI,0.7205122883291225,RSTR - LTBI in Mtb
lmekin.contrast,FZD3,contrast,0.2845242920932871,0.19062348554865444,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,GAPDH,contrast,0.2749377378558677,0.022660950270120214,NA,TB_RSTR - TB_LTBI,0.03920365873978517,RSTR - LTBI in Mtb
lmekin.contrast,GAPDH,contrast,0.1113351401433502,0.1326204283349806,NA,MEDIA_RSTR - MEDIA_LTBI,0.3389188724116171,RSTR - LTBI in media
lmekin.contrast,GBP5,contrast,-1.1217558057613124,1.2618587377476742e-4,NA,TB_RSTR - TB_LTBI,0.0014511375484098253,RSTR - LTBI in Mtb
lmekin.contrast,GBP5,contrast,-0.39922300101444547,0.20786259608452484,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,GNA12,contrast,0.2867338631865356,0.0034855239816385594,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,GNA12,contrast,0.048321615391996,0.5094085165613281,NA,MEDIA_RSTR - MEDIA_LTBI,0.6668506707550402,RSTR - LTBI in media
lmekin.contrast,GNA15,contrast,0.37541686188507145,0.022764257057192663,NA,TB_RSTR - TB_LTBI,0.03920365873978517,RSTR - LTBI in Mtb
lmekin.contrast,GNA15,contrast,0.18588780128550927,0.08999263101473791,NA,MEDIA_RSTR - MEDIA_LTBI,0.287327431543949,RSTR - LTBI in media
lmekin.contrast,GRB2,contrast,0.1890163438562466,0.01780943536064339,NA,TB_RSTR - TB_LTBI,0.03534848063310312,RSTR - LTBI in Mtb
lmekin.contrast,GRB2,contrast,0.031064069750471775,0.5745785885858081,NA,MEDIA_RSTR - MEDIA_LTBI,0.7208349565894684,RSTR - LTBI in media
lmekin.contrast,GSTK1,contrast,-0.3295462572819469,4.899480095979566e-4,NA,TB_RSTR - TB_LTBI,0.0033806412662259005,RSTR - LTBI in Mtb
lmekin.contrast,GSTK1,contrast,0.03928518753890543,0.48855878113925527,NA,MEDIA_RSTR - MEDIA_LTBI,0.6668506707550402,RSTR - LTBI in media
lmekin.contrast,HAPLN3,contrast,-1.294973484170391,2.478401891208555e-6,NA,TB_RSTR - TB_LTBI,4.2752432623347573e-5,RSTR - LTBI in Mtb
lmekin.contrast,HAPLN3,contrast,-1.2359095499082957,0.001190619021377996,NA,MEDIA_RSTR - MEDIA_LTBI,0.041076356237540856,RSTR - LTBI in media
lmekin.contrast,HENMT1,contrast,-0.06090254677716838,0.6932770204251847,NA,TB_RSTR - TB_LTBI,0.7359402216821191,RSTR - LTBI in Mtb
lmekin.contrast,HENMT1,contrast,0.022636661235283444,0.8030518963323886,NA,MEDIA_RSTR - MEDIA_LTBI,0.903802352872838,RSTR - LTBI in media
lmekin.contrast,HLA-DMB,contrast,-0.25031002271658404,0.05052681970711058,NA,TB_RSTR - TB_LTBI,0.06835981489785549,RSTR - LTBI in Mtb
lmekin.contrast,HLA-DMB,contrast,0.061938746878597045,0.5654290503586419,NA,MEDIA_RSTR - MEDIA_LTBI,0.7208349565894684,RSTR - LTBI in media
lmekin.contrast,HMHA1,contrast,-0.14699537716316763,0.032694966480451434,NA,TB_RSTR - TB_LTBI,0.0497111678879353,RSTR - LTBI in Mtb
lmekin.contrast,HMHA1,contrast,-0.10465205003180654,0.09161164484009969,NA,MEDIA_RSTR - MEDIA_LTBI,0.287327431543949,RSTR - LTBI in media
lmekin.contrast,ICOS,contrast,-0.8235102171403458,0.03386123030047767,NA,TB_RSTR - TB_LTBI,0.0497111678879353,RSTR - LTBI in Mtb
lmekin.contrast,ICOS,contrast,-0.7375743266432903,0.046060308349335694,NA,MEDIA_RSTR - MEDIA_LTBI,0.23941208268786035,RSTR - LTBI in media
lmekin.contrast,IFNG,contrast,-2.7348289296754227,4.451586222024143e-9,NA,TB_RSTR - TB_LTBI,3.0715944931966586e-7,RSTR - LTBI in Mtb
lmekin.contrast,IFNG,contrast,-0.4128732418447405,0.20690777827792275,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,IFNGR2,contrast,0.33597152699614447,0.003328147775942705,NA,TB_RSTR - TB_LTBI,0.009703842360618819,RSTR - LTBI in Mtb
lmekin.contrast,IFNGR2,contrast,0.10759789758265394,0.20399311487565497,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,IRF1,contrast,-0.7485011652793074,2.9564165848754633e-8,NA,TB_RSTR - TB_LTBI,1.0199637217820348e-6,RSTR - LTBI in Mtb
lmekin.contrast,IRF1,contrast,-0.2455561130423441,0.0764235885487078,NA,MEDIA_RSTR - MEDIA_LTBI,0.27574468439471533,RSTR - LTBI in media
lmekin.contrast,IRF8,contrast,-0.4963895360431258,8.434387953437564e-5,NA,TB_RSTR - TB_LTBI,0.0011639455375743839,RSTR - LTBI in Mtb
lmekin.contrast,IRF8,contrast,-0.013274319076116831,0.8510818489941651,NA,MEDIA_RSTR - MEDIA_LTBI,0.903802352872838,RSTR - LTBI in media
lmekin.contrast,KBTBD4,contrast,0.0038350619609702975,0.9710480787536666,NA,TB_RSTR - TB_LTBI,0.9710480787536666,RSTR - LTBI in Mtb
lmekin.contrast,KBTBD4,contrast,0.03589090934288367,0.7158618388401721,NA,MEDIA_RSTR - MEDIA_LTBI,0.8516287393098599,RSTR - LTBI in media
lmekin.contrast,LAIR1,contrast,0.4430683686361043,0.016296715454146165,NA,TB_RSTR - TB_LTBI,0.03407495049503289,RSTR - LTBI in Mtb
lmekin.contrast,LAIR1,contrast,0.13366727805887907,0.15812055837352315,NA,MEDIA_RSTR - MEDIA_LTBI,0.36775690076492856,RSTR - LTBI in media
lmekin.contrast,LST1,contrast,0.1981778367402924,0.11021313388721962,NA,TB_RSTR - TB_LTBI,0.13111562479686473,RSTR - LTBI in Mtb
lmekin.contrast,LST1,contrast,0.1404494458109346,0.35707123145193254,NA,MEDIA_RSTR - MEDIA_LTBI,0.5456703023079252,RSTR - LTBI in media
lmekin.contrast,MARCH1,contrast,0.2992660614597099,0.11930045464229212,NA,TB_RSTR - TB_LTBI,0.13952087068335858,RSTR - LTBI in Mtb
